add-none, 4, 100000, 800000, 9949914, 12, -21651
add-none, 8, 100, 1600, 217351, 135, 0
add-none, 8, 1000, 16000, 260768, 16, 594
add-none, 8, 10000, 160000, 2145819, 13, -437
add-none, 8, 100000, 1600000, 18047455, 11, -21898
add-none, 12, 100, 2400, 313148, 130, 0
add-none, 12, 1000, 24000, 384344, 16, 771
add-none, 12, 10000, 240000, 3054374, 12, 929
add-none, 12, 100000, 2400000, 30437700, 12, -27398
add-yield-none, 2, 10, 40, 105210, 2630, 0
add-yield-none, 4, 10, 80, 162099, 2026, 0
add-yield-none, 8, 10, 160, 245326, 1533, 15
add-yield-none, 12, 10, 240, 351753, 1465, 4
add-yield-none, 2, 20, 80, 150368, 1879, 0
add-yield-none, 4, 20, 160, 152871, 955, 8
add-yield-none, 8, 20, 320, 249241, 778, 5
add-yield-none, 12, 20, 480, 349413, 727, 36
add-yield-none, 2, 40, 160, 89148, 557, 24
add-yield-none, 4, 40, 320, 164307, 513, -12
add-yield-none, 8, 40, 640, 264918, 413, 41
add-yield-none, 12, 40, 960, 385924, 402, 60
add-yield-none, 2, 80, 320, 138376, 432, -14
add-yield-none, 4, 80, 640, 222368, 347, 119
add-yield-none, 8, 80, 1280, 246152, 192, 125
add-yield-none, 12, 80, 1920, 371845, 193, 332
add-yield-none, 2, 100, 400, 205685, 514, -5
add-yield-none, 4, 100, 800, 207914, 259, 60
add-yield-none, 8, 100, 1600, 314013, 196, 209
add-yield-none, 12, 100, 2400, 329635, 137, 174
add-yield-none, 2, 1000, 4000, 828934, 207, -63
add-yield-none, 4, 1000, 8000, 869612, 108, 93
add-yield-none, 8, 1000, 16000, 1164835, 72, 241
add-yield-none, 12, 1000, 24000, 1640289, 68, 414
add-yield-none, 2, 10000, 40000, 6927264, 173, -64
add-yield-none, 4, 10000, 80000, 6986308, 87, -553
add-yield-none, 8, 10000, 160000, 9905812, 61, 292
add-yield-none, 12, 10000, 240000, 14476168, 60, -4968
add-yield-none, 2, 100000, 400000, 55149204, 137, -1132
add-yield-none, 4, 100000, 800000, 66957624, 83, -8123
add-yield-none, 8, 100000, 1600000, 96822760, 60, -22140
add-yield-none, 12, 100000, 2400000, 142137815, 59, -792
add-none, 1, 100, 200, 132895, 664, 0
add-none, 1, 1000, 2000, 146150, 73, 0
add-none, 1, 10000, 20000, 264741, 13, 0
add-none, 1, 100000, 200000, 1693442, 8, 0
add-none, 1, 1000000, 2000000, 14813988, 7, 0
add-none, 2, 100, 400, 89640, 224, 0
add-none, 2, 1000, 4000, 152358, 38, 0
add-none, 2, 10000, 40000, 500554, 12, -457
add-none, 2, 100000, 400000, 4229222, 10, -23450
add-none, 2, 1000000, 4000000, 44324368, 11, -338255
add-none, 4, 100, 800, 155131, 193, 0
add-none, 4, 1000, 8000, 148008, 18, 664
add-none, 4, 10000, 80000, 1016922, 12, -2427
add-none, 4, 100000, 800000, 10516703, 13, -39108
add-none, 4, 1000000, 8000000, 96142323, 12, -157668
add-yield-none, 1, 100, 200, 175050, 875, 0
add-yield-none, 1, 1000, 2000, 578197, 289, 0
add-yield-none, 1, 10000, 20000, 4488489, 224, 0
add-yield-none, 1, 100000, 200000, 43598621, 217, 0
add-yield-none, 1, 1000000, 2000000, 437138461, 218, 0
add-yield-none, 2, 100, 400, 169625, 424, 47
add-yield-none, 2, 1000, 4000, 755719, 188, 13
add-yield-none, 2, 10000, 40000, 6677524, 166, -455
add-yield-none, 2, 100000, 400000, 64708176, 161, -3293
add-yield-none, 2, 1000000, 4000000, 643039973, 160, -26605
add-yield-none, 4, 100, 800, 178248, 222, 103
add-yield-none, 4, 1000, 8000, 853136, 106, -196
add-yield-none, 4, 10000, 80000, 6815355, 85, -189
add-yield-none, 4, 100000, 800000, 68013870, 85, -1738
add-yield-none, 4, 1000000, 8000000, 649614610, 81, 342
add-yield-m, 2, 10000, 40000, 15478711, 386, 0
add-yield-m, 4, 10000, 80000, 65040889, 813, 0
add-yield-m, 8, 10000, 160000, 159136006, 994, 0
add-yield-m, 12, 10000, 240000, 224591005, 935, 0
add-yield-s, 2, 10000, 40000, 14517534, 362, 0
add-yield-s, 4, 10000, 80000, 33394767, 417, 0
add-yield-s, 8, 1000, 16000, 10014216, 625, 0
add-yield-s, 12, 1000, 24000, 22988036, 957, 0
add-m, 1, 10000, 20000, 690757, 34, 0
add-m, 2, 10000, 40000, 3426039, 85, 0
add-m, 4, 10000, 80000, 16465370, 205, 0
add-m, 8, 10000, 160000, 25636427, 160, 0
add-m, 12, 10000, 240000, 34719204, 144, 0
add-s, 1, 10000, 20000, 330578, 16, 0
add-s, 2, 10000, 40000, 2850346, 71, 0
add-s, 4, 10000, 80000, 16773398, 209, 0
add-s, 8, 10000, 160000, 44854659, 280, 0
add-s, 12, 10000, 240000, 110728867, 461, 0
add-none, 2, 100, 400, 99984, 249, 0
add-none, 2, 1000, 4000, 101262, 25, 116
add-none, 2, 10000, 40000, 534601, 13, 0
add-none, 2, 100000, 400000, 4330442, 10, -88571
add-none, 4, 100, 800, 117379, 146, 0
add-none, 4, 1000, 8000, 161313, 20, 602
add-none, 4, 10000, 80000, 1092534, 13, -684
add-none, 4, 100000, 800000, 10017371, 12, -28692
add-none, 8, 100, 1600, 198663, 124, 94
add-none, 8, 1000, 16000, 306162, 19, 238
add-none, 8, 10000, 160000, 2149702, 13, 170
add-none, 8, 100000, 1600000, 20505078, 12, -27979
add-none, 12, 100, 2400, 264580, 110, 0
add-none, 12, 1000, 24000, 359148, 14, 935
add-none, 12, 10000, 240000, 3053023, 12, -11719
add-none, 12, 100000, 2400000, 29148760, 12, -136891
add-yield-none, 2, 10, 40, 80913, 2022, 0
add-yield-none, 4, 10, 80, 118894, 1486, 4
add-yield-none, 8, 10, 160, 188248, 1176, 3
add-yield-none, 12, 10, 240, 246571, 1027, 1
add-yield-none, 2, 20, 80, 61707, 771, 0
add-yield-none, 4, 20, 160, 124424, 777, 0
add-yield-none, 8, 20, 320, 185906, 580, 46
add-yield-none, 12, 20, 480, 264301, 550, 37
add-yield-none, 2, 40, 160, 62678, 391, 31
add-yield-none, 4, 40, 320, 108384, 338, 85
add-yield-none, 8, 40, 640, 219461, 342, 100
add-yield-none, 12, 40, 960, 271390, 282, 167
add-yield-none, 2, 80, 320, 81080, 253, 28
add-yield-none, 4, 80, 640, 155763, 243, 95
add-yield-none, 8, 80, 1280, 237531, 185, 79
add-yield-none, 12, 80, 1920, 303116, 157, 208
add-yield-none, 2, 100, 400, 115003, 287, 22
add-yield-none, 4, 100, 800, 176910, 221, 98
add-yield-none, 8, 100, 1600, 250838, 156, 218
add-yield-none, 12, 100, 2400, 1473977, 614, 228
add-yield-none, 2, 1000, 4000, 555572, 138, -19
add-yield-none, 4, 1000, 8000, 762975, 95, 162
add-yield-none, 8, 1000, 16000, 1133982, 70, 238
add-yield-none, 12, 1000, 24000, 1818450, 75, 224
add-yield-none, 2, 10000, 40000, 5051310, 126, -211
add-yield-none, 4, 10000, 80000, 6892989, 86, 71
add-yield-none, 8, 10000, 160000, 9758008, 60, -2518
add-yield-none, 12, 10000, 240000, 15920864, 66, 404
add-yield-none, 2, 100000, 400000, 68891472, 172, -925
add-yield-none, 4, 100000, 800000, 70535287, 88, 124
add-yield-none, 8, 100000, 1600000, 106286976, 66, -21448
add-yield-none, 12, 100000, 2400000, 156383754, 65, -29673
add-none, 1, 100, 200, 75317, 376, 0
add-none, 1, 1000, 2000, 65615, 32, 0
add-none, 1, 10000, 20000, 203509, 10, 0
add-none, 1, 100000, 200000, 1599333, 7, 0
add-none, 1, 1000000, 2000000, 15357063, 7, 0
add-none, 2, 100, 400, 80883, 202, 0
add-none, 2, 1000, 4000, 121639, 30, 0
